county,population
Alachua County,"247,336"
Baker County,"27,115"
Bay County,"168,852"
Bradford County,"28,520"
Brevard County,"543,376"
Broward County,"1,748,066"
Calhoun County,"14,625"
Charlotte County,"159,978"
Citrus County,"141,236"
Clay County,"190,865"
Collier County,"321,520"
Columbia County,"67,531"
DeSoto County,"34,862"
Dixie County,"16,422"
Duval County,"864,263"
Escambia County,"297,619"
Flagler County,"95,696"
Franklin County,"11,549"
Gadsden County,"46,389"
Gilchrist County,"16,939"
Glades County,"12,884"
Gulf County,"15,863"
Hamilton County,"14,799"
Hardee County,"27,731"
Hendry County,"39,140"
Hernando County,"172,778"
Highlands County,"98,786"
Hillsborough County,"1,229,226"
Holmes County,"19,927"
Indian River County,"138,028"
Jackson County,"49,746"
Jefferson County,"14,761"
Lafayette County,"8,870"
Lake County,"297,047"
Lee County,"618,754"
Leon County,"275,487"
Levy County,"40,801"
Liberty County,"8,365"
Madison County,"19,224"
Manatee County,"322,833"
Marion County,"331,303"
Martin County,"146,318"
Miami-Dade County,"2,496,457"
Monroe County,"73,090"
Nassau County,"73,314"
Okaloosa County,"180,822"
Okeechobee County,"39,996"
Orange County,"1,145,956"
Osceola County,"268,685"
Palm Beach County,"1,320,134"
Pasco County,"464,697"
Pinellas County,"916,542"
Polk County,"602,095"
Putnam County,"74,364"
St. Johns County,"190,039"
St. Lucie County,"277,789"
Santa Rosa County,"151,372"
Sarasota County,"379,448"
Seminole County,"422,718"
Sumter County,"93,420"
Suwannee County,"41,551"
Taylor County,"22,570"
Union County,"15,535"
Volusia County,"494,593"
Wakulla County,"30,776"
Walton County,"55,043"
Washington County,"24,896"